state,year,metric,age_group,count,population,rate
AK,2013,Pregnancy,30-34,3550.0,25828,13744.773114449436
AK,2013,Pregnancy,35-39,1550.0,21800,7110.0917431192665
AK,2013,Pregnancy,40+,390.0,22278,1750.6059789927285
AK,2014,Abortion,15-19,210.0,22810,920.648838228847
AK,2014,Abortion,20-24,530.0,26002,2038.3047457887853
AK,2014,Abortion,25-29,440.0,28281,1555.8148580318941
AK,2014,Abortion,30-34,260.0,26467,982.3553859523181
AK,2014,Abortion,35-39,120.0,22025,544.8354143019296
AK,2014,Abortion,40+,60.0,21597,277.8163633838033
AK,2014,Birth,15-19,645.0,22810,2827.7071459886015
AK,2014,Birth,20-24,2980.0,26002,11460.656872548265
AK,2014,Birth,25-29,3536.0,28281,12503.093950001767
AK,2014,Birth,30-34,2844.0,26467,10745.45660633997
AK,2014,Birth,35-39,1115.0,22025,5062.429057888763
AK,2014,Birth,40+,247.0,21597,1143.6773625966568
AK,2014,Miscarriage,15-19,150.0,22810,657.606313020605
AK,2014,Miscarriage,20-24,650.0,26002,2499.807707099454
AK,2014,Miscarriage,25-29,750.0,28281,2651.9571443725467
AK,2014,Miscarriage,30-34,590.0,26467,2229.1910681225677
AK,2014,Miscarriage,35-39,240.0,22025,1089.6708286038593
AK,2014,Miscarriage,40+,60.0,21597,277.8163633838033
AK,2014,Pregnancy,15-19,1010.0,22810,4427.882507672073
AK,2014,Pregnancy,20-24,4160.0,26002,15998.769325436504
AK,2014,Pregnancy,25-29,4730.0,28281,16725.00972384286
AK,2014,Pregnancy,30-34,3700.0,26467,13979.672800090679
AK,2014,Pregnancy,35-39,1470.0,22025,6674.2338251986375
AK,2014,Pregnancy,40+,360.0,21597,1666.8981803028198
AK,2015,Abortion,15-19,180.0,22413,803.1053406505154
AK,2015,Abortion,20-24,510.0,25362,2010.882422521883
AK,2015,Abortion,25-29,420.0,28527,1472.2894100326007
AK,2015,Abortion,30-34,240.0,26826,894.6544397226572
AK,2015,Abortion,35-39,140.0,22650,618.1015452538632
AK,2015,Abortion,40+,50.0,20929,238.9029576186153
AK,2015,Birth,15-19,662.0,22413,2953.6429750591174
AK,2015,Birth,20-24,2723.0,25362,10736.534973582524
AK,2015,Birth,25-29,3525.0,28527,12356.714691345042
AK,2015,Birth,30-34,2893.0,26826,10784.313725490196
AK,2015,Birth,35-39,1230.0,22650,5430.463576158941
AK,2015,Birth,40+,230.0,20929,1098.9536050456304
AK,2015,Miscarriage,15-19,150.0,22413,669.2544505420962
AK,2015,Miscarriage,20-24,600.0,25362,2365.744026496333
AK,2015,Miscarriage,25-29,750.0,28527,2629.0882322010725
AK,2015,Miscarriage,30-34,600.0,26826,2236.636099306643
AK,2015,Miscarriage,35-39,260.0,22650,1147.9028697571744
AK,2015,Miscarriage,40+,50.0,20929,238.9029576186153
AK,2015,Pregnancy,15-19,990.0,22413,4417.079373577834
AK,2015,Pregnancy,20-24,3830.0,25362,15101.332702468259
AK,2015,Pregnancy,25-29,4690.0,28527,16440.565078697375
AK,2015,Pregnancy,30-34,3730.0,26826,13904.421084022964
AK,2015,Pregnancy,35-39,1630.0,22650,7196.467991169978
AK,2015,Pregnancy,40+,330.0,20929,1576.759520282861
AK,2016,Abortion,15-19,170.0,22403,758.826942820158
AK,2016,Abortion,20-24,420.0,24387,1722.22905646451
AK,2016,Abortion,25-29,410.0,29127,1407.628660692828
AK,2016,Abortion,30-34,260.0,27387,949.355533647351
AK,2016,Abortion,35-39,140.0,23581,593.6983164412027
AK,2016,Abortion,40+,50.0,20386,245.26635926616305
AK,2016,Birth,15-19,583.0,22403,2602.330045083248
AK,2016,Birth,20-24,2563.0,24387,10509.697789806043
AK,2016,Birth,25-29,3546.0,29127,12174.271294675043
AK,2016,Birth,30-34,2965.0,27387,10826.304451016906
AK,2016,Birth,35-39,1299.0,23581,5508.672236122302
AK,2016,Birth,40+,226.0,20386,1108.603943883057
AK,2016,Miscarriage,15-19,130.0,22403,580.2794268624738
AK,2016,Miscarriage,20-24,550.0,24387,2255.299954894001
AK,2016,Miscarriage,25-29,750.0,29127,2574.930476877124
AK,2016,Miscarriage,30-34,620.0,27387,2263.8478110052215
AK,2016,Miscarriage,35-39,270.0,23581,1144.9896102794623
AK,2016,Miscarriage,40+,50.0,20386,245.26635926616305
AK,2016,Pregnancy,15-19,890.0,22403,3972.6822300584745
AK,2016,Pregnancy,20-24,3540.0,24387,14515.930618772296
AK,2016,Pregnancy,25-29,4700.0,29127,16136.230988429978
AK,2016,Pregnancy,30-34,3850.0,27387,14057.764632855005
AK,2016,Pregnancy,35-39,1710.0,23581,7251.600865103261
AK,2016,Pregnancy,40+,320.0,20386,1569.7046993034435
AK,2017,Abortion,15-19,150.0,22090,679.0402897238569
AK,2017,Abortion,20-24,390.0,23257,1676.9144773616545
AK,2017,Abortion,25-29,380.0,29237,1299.7229537914286
AK,2017,Abortion,30-34,310.0,27365,1132.833911931299
AK,2017,Abortion,35-39,140.0,24250,577.319587628866
AK,2017,Abortion,40+,40.0,20371,196.35756712974325
AK,2017,Birth,15-19,486.0,22090,2200.0905387052962
AK,2017,Birth,20-24,2259.0,23257,9713.204626564046
AK,2017,Birth,25-29,3369.0,29237,11523.070082429798
AK,2017,Birth,30-34,2735.0,27365,9994.518545587429
AK,2017,Birth,35-39,1303.0,24250,5373.19587628866
AK,2017,Birth,40+,266.0,20371,1305.7778214127927
AK,2017,Miscarriage,15-19,110.0,22090,497.9628791308284
AK,2017,Miscarriage,20-24,490.0,23257,2106.8925484800275
AK,2017,Miscarriage,25-29,710.0,29237,2428.4297294524063
AK,2017,Miscarriage,30-34,580.0,27365,2119.4957061940436
AK,2017,Miscarriage,35-39,270.0,24250,1113.4020618556701
AK,2017,Miscarriage,40+,60.0,20371,294.5363506946149
AK,2017,Pregnancy,15-19,740.0,22090,3349.9320959710276
AK,2017,Pregnancy,20-24,3140.0,23257,13501.31143311691
AK,2017,Pregnancy,25-29,4470.0,29237,15288.846324862332
AK,2017,Pregnancy,30-34,3620.0,27365,13228.576649004204
AK,2017,Pregnancy,35-39,1720.0,24250,7092.783505154639
AK,2017,Pregnancy,40+,360.0,20371,1767.2181041676893
AK,2018,Abortion,15-19,170.0,21775,780.7118254879449
AK,2018,Abortion,20-24,410.0,22558,1817.5370156928807
AK,2018,Abortion,25-29,400.0,28502,1403.4102869974038
AK,2018,Abortion,30-34,260.0,27246,954.2685164794833
AK,2018,Abortion,35-39,150.0,24856,603.4760218860637
AK,2018,Abortion,40+,50.0,20441,244.6064282569346
AK,2018,Birth,15-19,423.0,21775,1942.5947187141219
AK,2018,Birth,20-24,2182.0,22558,9672.843337175282
AK,2018,Birth,25-29,3140.0,28502,11016.770752929619
AK,2018,Birth,30-34,2767.0,27246,10155.619173456653
AK,2018,Birth,35-39,1304.0,24856,5246.218216929515
AK,2018,Birth,40+,256.0,20441,1252.3849126755051
AK,2018,Miscarriage,15-19,100.0,21775,459.2422502870264
AK,2018,Miscarriage,20-24,480.0,22558,2127.848213494104
AK,2018,Miscarriage,25-29,670.0,28502,2350.7122307206514
AK,2018,Miscarriage,30-34,580.0,27246,2128.7528444542318
AK,2018,Miscarriage,35-39,280.0,24856,1126.488574187319
AK,2018,Miscarriage,40+,60.0,20441,293.5277139083215
AK,2018,Pregnancy,15-19,700.0,21775,3214.6957520091846
AK,2018,Pregnancy,20-24,3070.0,22558,13609.362532139374
AK,2018,Pregnancy,25-29,4200.0,28502,14735.80801347274
AK,2018,Pregnancy,30-34,3610.0,27246,13249.651324965134
AK,2018,Pregnancy,35-39,1730.0,24856,6960.090119085935
AK,2018,Pregnancy,40+,360.0,20441,1761.1662834499289
AK,2019,Abortion,15-19,140.0,21463,652.2853282392956
AK,2019,Abortion,20-24,400.0,21878,1828.3206874485786
AK,2019,Abortion,25-29,410.0,27937,1467.587786806028
AK,2019,Abortion,30-34,280.0,27380,1022.6442658875092
AK,2019,Abortion,35-39,160.0,25235,634.0400237765009
AK,2019,Abortion,40+,50.0,20731,241.18469924268004
AK,2019,Birth,15-19,393.0,21463,1831.0580999860226
AK,2019,Birth,20-24,2053.0,21878,9383.85592832983
AK,2019,Birth,25-29,3084.0,27937,11039.123742706804
AK,2019,Birth,30-34,2628.0,27380,9598.246895544193
AK,2019,Birth,35-39,1356.0,25235,5373.489201505846
AK,2019,Birth,40+,287.0,20731,1384.4001736529835
AK,2019,Miscarriage,15-19,90.0,21463,419.3262824395471
