state,year,abortion_restricted,inadequate_prenatal_care,no_cancer_screen,infant_mortality,maternal_mortality,maternity_care_desert,maternity_practices_score,no_postpartum_visit,unintended_pregnancy,no_preventative,patients_per_doctor,inadequate_prenatal_care_z,no_cancer_screen_z,infant_mortality_z,maternal_mortality_z,maternity_care_desert_z,maternity_practices_score_z,no_postpartum_visit_z,unintended_pregnancy_z,no_preventative_z,patients_per_doctor_z,risk_index,post_dobbs,policy_shock
CT,2023,0,15.799999999999995,46.3,4.4,16.2,0.0,-87.0,6.599999999999994,20.6,21.09999999999999,1584.7860538827258,-1.441335890018796,0.9181371313657035,-1.1514726482508095,-1.0595736117594927,-0.8894287859774583,-1.1962743735940315,-1.2947098039972396,-0.8815347795255329,-1.4813008505701448,-1.159993476152652,-0.9637487088480453,1.0,0.0
DE,2018,0,28.299999999999997,18.799999999999997,6.2,18.9,0.0,-83.0,12.299999999999995,32.8,23.09999999999999,1953.125,0.9478481875119984,-1.536913362580286,0.41837260874974463,-0.7063192025418952,-0.8894287859774583,-0.44779780320706014,0.9336556723426274,0.5553438677870697,-0.984352953697215,-0.37338652537790323,-0.20829782969903782,0.0,0.0
DE,2019,0,24.5,27.25,6.2,18.9,0.0,-83.5,9.799999999999995,34.6,23.09999999999999,1953.125,0.2215362279426376,-0.7825433017132453,0.41837260874974463,-0.7063192025418952,-0.8894287859774583,-0.5413573745054315,-0.04369760675380526,0.7673423567348313,-0.984352953697215,-0.37338652537790323,-0.29138345571397406,0.0,0.0
DE,2020,0,22.0,35.7,5.8,18.9,0.0,-84.0,12.0,33.7,25.59999999999999,1953.125,-0.2563005875635212,-0.028173240846204633,0.06951810719406556,-0.7063192025418952,-0.8894287859774583,-0.634916945803803,0.8163732788510573,0.6613431122609509,-0.36316808260605277,-0.37338652537790323,-0.17044588724107645,0.0,0.0
DE,2021,0,22.0,44.15,6.2,18.9,0.0,-88.5,12.299999999999995,31.0,25.59999999999999,1912.0458891013384,-0.2563005875635212,0.7261968200208354,0.41837260874974463,-0.7063192025418952,-0.8894287859774583,-1.4769530874891459,0.9336556723426274,0.3433453788393089,-0.36316808260605277,-0.46111310033054453,-0.17317123665561018,0.0,0.0
DE,2023,0,21.40000000000001,52.6,6.8,18.9,0.0,-93.0,11.099999999999994,27.2,24.0,2159.8272138228945,-0.37098142328499756,1.480566880887876,0.9416543610832625,-0.7063192025418952,-0.8894287859774583,-2.3189892291744885,0.4645260983763393,-0.10420698671707575,-0.7607264001043943,0.06803678825086952,-0.2195867899201962,1.0,0.0
FL,2018,1,28.90000000000001,21.09999999999999,6.1,24.1,0.9,-81.0,10.700000000000005,42.1,25.700000000000003,2506.2656641604012,1.062529023233479,-1.3315818667229857,0.3311589833608245,-0.025977377382077216,-0.7289828088991717,-0.07355951801357444,0.3081495737209141,1.6506693940171693,-0.3383206877624033,0.8078740927870878,0.16619588083392625,0.0,0.0
FL,2019,1,28.90000000000001,28.39999999999999,6.1,24.1,0.9,-81.0,10.700000000000005,42.1,27.59999999999999,2506.2656641604012,1.062529023233479,-0.6798775537845956,0.3311589833608245,-0.025977377382077216,-0.7289828088991717,-0.07355951801357444,0.3081495737209141,1.6506693940171693,0.13377981426687696,0.8078740927870878,0.2785763623306933,0.0,0.0
FL,2020,1,32.3,35.69999999999999,6.0,24.1,0.9,-81.0,10.700000000000005,37.9,27.40000000000001,2409.6385542168673,1.7123870923218525,-0.028173240846205903,0.2439453579719051,-0.025977377382077216,-0.7289828088991717,-0.07355951801357444,0.3081495737209141,1.1560062531390596,0.08408502457958858,0.601521880738732,0.3249402237331023,0.0,0.0
FL,2021,1,35.3,43.0,5.9,24.1,0.9,-82.0,10.666666666666671,37.9,27.40000000000001,2336.448598130841,2.285791270929243,0.6235310720921851,0.15673173258298573,-0.025977377382077216,-0.7289828088991717,-0.2606786606103173,0.2951181966662951,1.1560062531390596,0.08408502457958858,0.4452209280671764,0.40308456311649676,0.0,0.0
