State,Year,Abortion Restricted,Inadequate Prenatal Care,No Cancer Screen,Infant Mortality,Maternal Mortality,Maternity Care Desert,Maternity Practices Score,No Postpartum Visit,Unintended Pregnancy,No Preventative,Patients Per Doctor,Region
NY,2021,0,23.59999999999999,47.25,4.2,22.4,0.2,-84.0,11.349999999999994,23.8,22.90000000000001,1628.6644951140065,Northeast
NY,2022,0,24.299999999999997,55.9,4.2,22.4,0.2,-85.0,8.799999999999997,25.4,23.200000000000003,1841.620626151013,Northeast
NY,2023,0,24.299999999999997,55.9,4.1,21.8,0.2,-85.0,8.700000000000003,25.4,23.200000000000003,1798.5611510791366,Northeast
OH,2018,1,22.700000000000003,19.59999999999999,6.9,24.5,2.9,-78.0,10.099999999999994,21.8,26.0,2288.329519450801,Midwest
OH,2019,1,21.799999999999997,26.09999999999999,6.9,24.5,2.9,-81.0,10.099999999999994,21.8,26.0,2288.329519450801,Midwest
OH,2020,1,22.09999999999999,32.599999999999994,6.9,24.5,2.9,-84.0,10.099999999999994,21.8,26.40000000000001,2173.913043478261,Midwest
OH,2021,1,20.09999999999999,39.1,6.9,24.5,2.9,-84.0,10.099999999999994,21.8,26.200000000000003,2100.8403361344535,Midwest
OH,2022,1,20.5,45.6,7.1,24.5,2.9,-84.0,10.099999999999994,21.8,24.700000000000003,2257.336343115124,Midwest
OH,2023,1,20.5,45.6,7.1,25.4,2.9,-84.0,10.099999999999994,21.8,24.700000000000003,2178.649237472767,Midwest
OK,2018,1,23.5,20.90000000000001,7.0,29.6,13.5,-75.0,12.0,34.0,30.0,2770.083102493075,South
OK,2019,1,21.90000000000001,27.60000000000001,7.0,29.6,13.5,-77.0,12.0,34.0,29.299999999999997,2770.083102493075,South
OK,2020,1,24.09999999999999,34.30000000000001,6.5,29.6,13.5,-79.0,12.0,34.0,29.299999999999997,2762.430939226519,South
OK,2021,1,22.09999999999999,41.0,7.0,29.6,13.5,-82.0,12.0,34.0,29.799999999999997,2710.027100271003,South
OK,2022,1,22.5,47.7,7.0,29.6,13.5,-85.0,12.549999999999995,34.0,29.799999999999997,3021.1480362537764,South
