State,Measure,Year,Value
AR,Cervical Cancer Screening,2020,65.15
AR,Cervical Cancer Screening,2021,55.925
AR,Cervical Cancer Screening,2022,46.7
AR,Cervical Cancer Screening,2023,46.7
AR,Concentrated Disadvantage,2018,28.2
AR,Concentrated Disadvantage,2019,26.9
AR,Concentrated Disadvantage,2020,26.9
AR,Concentrated Disadvantage,2021,26.9
AR,Concentrated Disadvantage,2022,26.9
AR,Concentrated Disadvantage,2023,26.9
AR,Food Insecurity,2018,12.6
AR,Food Insecurity,2019,15.0
AR,Food Insecurity,2020,15.0
AR,Food Insecurity,2021,15.0
AR,Food Insecurity,2022,16.6
AR,Food Insecurity,2023,18.9
AR,Gender Pay Gap,2018,85.0
AR,Gender Pay Gap,2019,79.0
AR,Gender Pay Gap,2020,81.15
AR,Gender Pay Gap,2021,83.3
AR,Gender Pay Gap,2022,80.2
AR,Gender Pay Gap,2023,81.6
AR,Infant Child Care Affordability,2018,9.7
AR,Infant Child Care Affordability,2019,8.9
AR,Infant Child Care Affordability,2020,9.8
AR,Infant Child Care Affordability,2021,9.4
AR,Infant Child Care Affordability,2022,9.0
AR,Infant Child Care Affordability,2023,9.2
AR,Infant Mortality,2018,7.3
AR,Infant Mortality,2019,7.3
AR,Infant Mortality,2020,8.0
AR,Infant Mortality,2021,8.0
AR,Infant Mortality,2022,8.0
AR,Infant Mortality,2023,8.0
AR,Low Birth Weight,2018,9.4
AR,Low Birth Weight,2019,9.2
AR,Low Birth Weight,2020,9.6
AR,Low Birth Weight,2021,9.5
AR,Low Birth Weight,2022,9.3
AR,Low Birth Weight,2023,9.6
AR,Low-Risk Cesarean Delivery,2018,28.4
AR,Low-Risk Cesarean Delivery,2019,27.7
AR,Low-Risk Cesarean Delivery,2020,26.5
AR,Low-Risk Cesarean Delivery,2021,28.0
AR,Low-Risk Cesarean Delivery,2022,27.9
AR,Low-Risk Cesarean Delivery,2023,26.9
AR,Maternal Mortality,2018,38.3
